id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;but inside;engage slather now;um procurement greedily;phew schematise;2026-03-16T20:00:41;30016;9436
2;once um down;ouch;more;volunteer;2026-03-16T17:30:41;1968;29295
3;saturate emotional;home;impressive;astonishing;2026-03-16T17:33:31;1985;20466
4;gadzooks gah moralise;smart horst um;amount;bare provided mechanically;2026-03-16T12:59:11;2329;8344
5;governance;plus;elevator um;telescope;2026-03-16T21:09:33;27350;22861
6;pike even;cultivated regular beyond;league;bitterly home nor;2026-03-16T16:29:45;17322;16101
7;for youthfully boo;palate over;absentmindedly;uh-huh;2026-03-16T21:58:19;20162;24228
8;ugh;imaginative reopen;hydrolyze;blah regularly weep;2026-03-17T02:28:52;10381;1210
9;helpfully;woot flu part;once;plait frantically disinherit;2026-03-16T13:04:40;6283;19396
10;boohoo intent;dispense madly hurtful;amongst;upon opposite dial;2026-03-17T00:33:27;9429;23294
